Best 1 since most of detected keypoints are located on the front vehicle and matching was good,,,,
Image #0,,,,
Detection Time,15.8482,,Keypoints,7822
Description Time,44.7761,,Matched Keypoints,0
,,,,
Image #1,,,,
Detection Time,15.4838,,Keypoints,7684
Description Time,45.8546,,Matched Keypoints,392
,,,,
Image #2,,,,
Detection Time,15.4132,,Keypoints,7612
Description Time,46.0493,,Matched Keypoints,370
,,,,
Image #3,,,,
Detection Time,11.9054,,Keypoints,7783
Description Time,37.4725,,Matched Keypoints,370
,,,,
Image #4,,,,
Detection Time,12.0471,,Keypoints,7797
Description Time,37.2871,,Matched Keypoints,373
,,,,
Image #5,,,,
Detection Time,13.0561,,Keypoints,7724
Description Time,38.0316,,Matched Keypoints,374
,,,,
Image #6,,,,
Detection Time,13.0667,,Keypoints,7612
Description Time,38.8821,,Matched Keypoints,364
,,,,
Image #7,,,,
Detection Time,11.8306,,Keypoints,7534
Description Time,37.0047,,Matched Keypoints,345
,,,,
Image #8,,,,
Detection Time,11.9647,,Keypoints,7622
Description Time,36.941,,Matched Keypoints,360
,,,,
Image #9,,,,
Detection Time,12.0429,,Keypoints,7635
Description Time,37.039,,Matched Keypoints,360
